,Date,Open,High,Low,Close,Adj Close,Volume
20,2014-12-31,4256.169922,4275.580078,4255.330078,4272.75,4272.75,18497800.0
21,2015-01-02,4294.049805,4311.0,4224.339844,4252.290039,4252.290039,69809300.0
275,2015-12-30,4690.310059,4708.319824,4672.259765999999,4677.140136999999,4677.140136999999,56083400.0
276,2016-01-04,4582.049805,4586.109863000001,4490.299805,4522.450195,4522.450195,130633900.0
532,2016-12-30,4837.680176,4864.290039,4825.140136999999,4862.310059,4862.310059,53055000.0
533,2017-01-02,4845.959961,4896.009765999999,4843.930176,4882.379883,4882.379883,34310400.0
787,2017-12-29,5336.149902,5344.049805,5312.560059,5312.560059,5312.560059,46218500.0
788,2018-01-02,5318.740234000001,5318.740234000001,5258.660156,5288.600098,5288.600098,66802600.0
1042,2018-12-31,4708.740234000001,4731.490234000001,4696.120117,4730.689941,4730.689941,23249900.0
1043,2019-01-02,4642.180176,4699.97998,4606.200195,4689.390136999999,4689.390136999999,76980400.0
1298,2019-12-31,5970.589844,5987.220215,5958.25,5978.060059,5978.060059,20670000.0
1299,2020-01-02,6016.609863000001,6062.919922,6011.209961,6041.5,6041.5,63958300.0
